序號,英文名稱,中文名稱,中國大陸譯名,來源網站
1,[feedback] controller,[反饋]控制器,[反馈]控制器,https://terms.naer.edu.tw/
2,[fillet] weld leg,銲腳,焊脚,https://terms.naer.edu.tw/
3,[measuring] potentiometer,（測量）電位計,[测量]电位差计,https://terms.naer.edu.tw/
4,[nuclear] radiation transducer,[核]輻射轉換器,[核]辐射传感器,https://terms.naer.edu.tw/
5,[resistance] strain gauge tensiometer,（電阻）應變式張力計,[电阻]应变式张力计,https://terms.naer.edu.tw/
6,A-type boiler,A型鍋爐,A型锅炉,https://terms.naer.edu.tw/
7,Abbe refractometer,阿貝折射計；阿貝折光儀,阿贝折射仪,https://terms.naer.edu.tw/
8,abrasion,磨損，磨耗，剝蝕,磨料磨损,https://terms.naer.edu.tw/
9,abrasion-resistant fan,耐磨風扇,耐磨通风机,https://terms.naer.edu.tw/
10,abrasive,磨料,磨料,https://terms.naer.edu.tw/
11,abrasive belt grinding machine,磨帶磨床,砂带磨床,https://terms.naer.edu.tw/
12,abrasive particle,磨料顆粒,磨粒,https://terms.naer.edu.tw/
13,abrasive wear,磨蝕，磨損,磨料磨损,https://terms.naer.edu.tw/
14,absolute error,絕對誤差,绝对误差,https://terms.naer.edu.tw/
15,absolute measurement,絕對量測；絕對量度；絕對測定；絕對度值,绝对测量,https://terms.naer.edu.tw/
16,absolute pressure transducer,絕對壓力轉換器,绝压传感器,https://terms.naer.edu.tw/
17,AC bridge,交流電橋；交流橋式電路,交流电桥,https://terms.naer.edu.tw/
18,acceleration transducer,加速度換能器,加速度传感器,https://terms.naer.edu.tw/
19,accuracy,準確度，精確度,准确度,https://terms.naer.edu.tw/
20,acoustic [quantity] transducer,聲（量）傳感器,声[学量]传感器,https://terms.naer.edu.tw/
21,acoustic fatigue,噪音疲勞，聲響疲勞,声疲劳,https://terms.naer.edu.tw/
22,acoustic thermometer,聲波溫度計；聲學溫度計；聲波測溫計,声学温度计,https://terms.naer.edu.tw/
23,acoustooptic effect,聲光效應,声光效应,https://terms.naer.edu.tw/
24,Active control,主動控制，有效控制,主动控制,https://terms.naer.edu.tw/
25,Active control,主動控制，有效控制,主动控制,https://terms.naer.edu.tw/
26,Active control technology,主動控制技術,主动控制技术,https://terms.naer.edu.tw/
27,active transducer,主動轉換器；主動換能器；有源換能器；有源變換器；有源轉換器,有源传感器,https://terms.naer.edu.tw/
28,actual deviation,實際偏差,实际偏差,https://terms.naer.edu.tw/
29,actual size,實際尺寸，實際大小,实际尺寸,https://terms.naer.edu.tw/
30,actuator,引動器，致動器,执行机构,https://terms.naer.edu.tw/
31,ACURAD die casting，accurate rapid dense die casting,精速實壓鑄,双冲头压铸,https://terms.naer.edu.tw/
32,adaptive control,適應控制,[自]适应控制,https://terms.naer.edu.tw/
33,adaptive control machine tool,適應控制機床；適應控制工作母機,适应控制机床,https://terms.naer.edu.tw/
34,Adaptive control robot,自適應控制機器人,自适应控制机器人,https://terms.naer.edu.tw/
35,Adaptive system,[自]適應系統；適應性系統,自适应系统,https://terms.naer.edu.tw/
36,additional retarding braking system,輔助制動系統,辅助制动系,https://terms.naer.edu.tw/
37,adhesion,附著力，黏著力，黏著,黏着,https://terms.naer.edu.tw/
38,adiabatic engine,絕熱引擎,绝热发动机,https://terms.naer.edu.tw/
39,aerator,充氣器；通風機,松砂机,https://terms.naer.edu.tw/
40,aerial camera,航攝儀；空照攝影機；航空照相機；高空照相機,航空摄影机,https://terms.naer.edu.tw/
41,aerial ladder fire truck,雲梯消防車,云梯消防车,https://terms.naer.edu.tw/
42,after burner,後燃裝置,后燃器,https://terms.naer.edu.tw/
43,agglomerate,黏聚物；造粒產物；集塊岩；團礦；附聚物；積聚物；燒結塊；燒結礦；造粒產物；燒結物,团粒,https://terms.naer.edu.tw/
44,agricultural machinery,農業機械,农业机械,https://terms.naer.edu.tw/
45,agricultural tractor,農用曳引機,农业拖拉机,https://terms.naer.edu.tw/
46,air conditioner,空氣調節器,空气调节器,https://terms.naer.edu.tw/
47,air conditioner unit,空氣調節器設備；空氣調節器裝置；空氣調節器組合件,空气调解单元,https://terms.naer.edu.tw/
48,air consumption,空氣消耗量,耗气量,https://terms.naer.edu.tw/
49,air cooling,氣冷，氣冷法,气冷,https://terms.naer.edu.tw/
50,air dryer,空氣乾燥器；風乾器,空气干燥器,https://terms.naer.edu.tw/
51,air hammer,氣槍槌,空气锤,https://terms.naer.edu.tw/
52,air hammer,氣槍槌,气击,https://terms.naer.edu.tw/
53,air heat exchanger,空氣熱交換器,空气换热器,https://terms.naer.edu.tw/
54,air heater,暖風器,暖风器,https://terms.naer.edu.tw/
55,air motor,氣動馬達,气马达,https://terms.naer.edu.tw/
56,air plenum,空氣室,风室,https://terms.naer.edu.tw/
57,air preheater,空氣預熱器,空气预热器,https://terms.naer.edu.tw/
58,air separation plant,空氣分離廠,空气分离设备,https://terms.naer.edu.tw/
59,air-conditioning unit，air conditioner,空氣調節器,空气调节机,https://terms.naer.edu.tw/
60,air-cooled compressor,空氣冷卻壓縮機.,风冷式压缩机,https://terms.naer.edu.tw/
61,air-cooled engine,氣冷式引擎,风冷发动机,https://terms.naer.edu.tw/
62,aircraft cleaning truck,飛機清洗車,飞机清洗车,https://terms.naer.edu.tw/
63,airplane water feeder,飛機供水車,飞机供水车,https://terms.naer.edu.tw/
64,Algebraic formal pattern recognition,代數形式圖型識別,代数形式模式识别,https://terms.naer.edu.tw/
65,alloy cast iron,合金鑄鐵,合金铸铁,https://terms.naer.edu.tw/
66,alternating current polarograph,交流極譜法,交流极谱仪,https://terms.naer.edu.tw/
67,ambulance,救護車,救护车,https://terms.naer.edu.tw/
68,ammeter,電流表，安培計,电流表,https://terms.naer.edu.tw/
69,analog transducer,類比換能器；類轉換器； 類比轉換器,模拟传感器,https://terms.naer.edu.tw/
70,analogue-to-digital converter，ADC,類比至數位轉換器,模/数转换,https://terms.naer.edu.tw/
71,analytical instrument,分析儀器,分析仪器,https://terms.naer.edu.tw/
72,angle pump,角泵,角式泵,https://terms.naer.edu.tw/
73,angle transducer,角傳感器,角度传感器,https://terms.naer.edu.tw/
74,angle valve,角閥,角式阀,https://terms.naer.edu.tw/
75,angular acceleration transducer,角加速度傳感器,角加速度传感器,https://terms.naer.edu.tw/
76,angular displacement grating,角位移光柵,角位移光栅,https://terms.naer.edu.tw/
77,angular encoder,軸角編碼器,角编码器,https://terms.naer.edu.tw/
78,angular gage block,角度塊規,角度块,https://terms.naer.edu.tw/
79,angular velocity transducer,角速度傳感器,角速度传感器,https://terms.naer.edu.tw/
80,angular-type compressor,角度式壓縮機,角度式压缩机,https://terms.naer.edu.tw/
81,anti-corrosion pump,耐腐蝕泵,耐腐蚀泵,https://terms.naer.edu.tw/
82,anti-hijacking vehicle,防劫持車,防暴车,https://terms.naer.edu.tw/
83,anti-oxidation heater,抗氧化加熱器,无氧化加热炉,https://terms.naer.edu.tw/
84,anti-violence water tanker,防暴水罐車,防暴水罐车,https://terms.naer.edu.tw/
85,apparent density,虛表密度，視密度,松装密度,https://terms.naer.edu.tw/
86,arc cutting,電弧切割,电弧切割,https://terms.naer.edu.tw/
87,arc furnace,電弧爐,电弧炉,https://terms.naer.edu.tw/
88,arc stabilizer,電弧穩定器,稳弧剂,https://terms.naer.edu.tw/
89,arc welding,電弧熔接；弧銲,电弧焊,https://terms.naer.edu.tw/
90,arc welding gun,電弧銲接用銲槍,电弧焊枪,https://terms.naer.edu.tw/
91,arc welding machine,電焊機，電弧焊機,电弧焊机,https://terms.naer.edu.tw/
92,arc welding torch,電離子焊槍,电弧焊枪,https://terms.naer.edu.tw/
93,argon shielded arc welding,氬弧銲,氩弧焊,https://terms.naer.edu.tw/
94,armoured passenger car,裝甲轎車,防弹车,https://terms.naer.edu.tw/
95,Aronhold-Kennedy theorem,三心定理,三心定理,https://terms.naer.edu.tw/
96,articulated bus,雙節公車,铰接客车,https://terms.naer.edu.tw/
97,articulated vehicle,拖掛車；連掛車,铰接列车,https://terms.naer.edu.tw/
98,Artificial intelligence,人工智慧,人工智能,https://terms.naer.edu.tw/
