序號,英文名稱,中文名稱,中國大陸譯名,來源網站
1,accumulating organ；storage organ,蓄積器官,蓄积器官,https://terms.naer.edu.tw/
2,acid deposition,酸沈降,酸沉降,https://terms.naer.edu.tw/
3,acid fog,酸霧,酸雾,https://terms.naer.edu.tw/
4,acid rain,酸雨,酸雨,https://terms.naer.edu.tw/
5,activated sludge,活性污泥,活性污泥,https://terms.naer.edu.tw/
6,aerosol,氣膠,气溶胶,https://terms.naer.edu.tw/
7,aflatoxin,黃麯黴毒素,黄曲霉毒素,https://terms.naer.edu.tw/
8,air pollution；atmospheric pollution,空氣污染,大气污染,https://terms.naer.edu.tw/
9,algae bloom,藻華,藻花,https://terms.naer.edu.tw/
10,algae toxin,藻毒素,藻毒素,https://terms.naer.edu.tw/
11,artificial environment,人工環境,人工环境,https://terms.naer.edu.tw/
12,atmospheric deposition,大氣沈降,大气沉降,https://terms.naer.edu.tw/
13,atmospheric environment,大氣環境,大气环境,https://terms.naer.edu.tw/
14,background noise,背景雜音,背景噪声,https://terms.naer.edu.tw/
15,bacterial toxin,細菌毒素,细菌毒素,https://terms.naer.edu.tw/
16,bioaccumulation,生物累積,生物积累,https://terms.naer.edu.tw/
17,biochemical oxygen demand（BOD）,生化需氧量,生化需氧量,https://terms.naer.edu.tw/
18,bioconcentration,生物濃縮,生物浓缩,https://terms.naer.edu.tw/
19,bioenrichment,生物富集,生物富集,https://terms.naer.edu.tw/
20,bioinvasion；biotic intrusion,生物入侵,生物入侵,https://terms.naer.edu.tw/
21,biological indicator,生物指標,生物指标,https://terms.naer.edu.tw/
22,biological pollution,生物污染,生物污染,https://terms.naer.edu.tw/
23,biological purification,生物淨化,生物净化,https://terms.naer.edu.tw/
24,biomagnification,生物放大,生物放大,https://terms.naer.edu.tw/
25,bioremediation,生物修復,生物修复,https://terms.naer.edu.tw/
26,biosafety,生物安全,生物安全,https://terms.naer.edu.tw/
27,biotic environment,生物環境,生物环境,https://terms.naer.edu.tw/
28,carbon footprint,碳足跡,碳足迹,https://terms.naer.edu.tw/
29,carbon source,碳源,碳源,https://terms.naer.edu.tw/
30,carcinogen,致癌物,致癌物,https://terms.naer.edu.tw/
