序號,英文名稱,中文名稱,中國大陸譯名,來源網站
1,(uncompressing); decompress,解壓縮,解压[缩]【动】,https://terms.naer.edu.tw/
2,abort,打斷；放棄；異常中止；中斷；故障(測試；發射)；飛行故障；空中損壞,夭折【动】,https://terms.naer.edu.tw/
3,accelerator,加速器,加速器,https://terms.naer.edu.tw/
4,access,存取；進接；讀取；進出；擷取；,访问,https://terms.naer.edu.tw/
5,access path,存取路徑,访问路径,https://terms.naer.edu.tw/
6,access right,存取權；使用權限,访问权,https://terms.naer.edu.tw/
7,accountability,可歸責性,可核查性,https://terms.naer.edu.tw/
8,accumulator,存儲器；累加器；蓄電池；儲能電路,累加器,https://terms.naer.edu.tw/
9,acknowledgment,應答,确认,https://terms.naer.edu.tw/
10,adapter; adaptor,adapter 接頭；配接器；轉接器；接合器。adaptor 配接器,适配器,https://terms.naer.edu.tw/
11,address,位址；地址,地址,https://terms.naer.edu.tw/
12,address resolution protocol，ARP,位址解析協定,地址解析协议,https://terms.naer.edu.tw/
13,addressing,尋址；選址；定址,寻址,https://terms.naer.edu.tw/
14,affirmation,收信確認,认定,https://terms.naer.edu.tw/
15,agent,代理者,代理,https://terms.naer.edu.tw/
16,alarm,警報信號；警鈴；警報機,报警,https://terms.naer.edu.tw/
17,algorithm,演算法(一套規則；方法),算法,https://terms.naer.edu.tw/
18,alignment,調正；對齊；對準；；排列成行；軸線平行性,对齐,https://terms.naer.edu.tw/
19,allocation,分配；配置；指派；配置算法,分配,https://terms.naer.edu.tw/
20,alphabet,字符,字母表,https://terms.naer.edu.tw/
21,alphanumeric,文數,字母数字的【形】,https://terms.naer.edu.tw/
22,analog data,類比資料,模拟数据,https://terms.naer.edu.tw/
23,analog-to-digital converter (ADC),類比-數位轉換器,模数转换器,https://terms.naer.edu.tw/
24,AND gate,及閘,“与”门,https://terms.naer.edu.tw/
25,animation,動畫,动画,https://terms.naer.edu.tw/
26,application software,應用軟體,应用软件,https://terms.naer.edu.tw/
27,arbitration,仲裁,仲裁,https://terms.naer.edu.tw/
28,architecture,架構；結構,体系结构,https://terms.naer.edu.tw/
29,arithmetic and logic unit,算術與邏輯單元,运算器,https://terms.naer.edu.tw/
30,arithmetic operator,算術運算子,算术运算符,https://terms.naer.edu.tw/
31,array,陣列,数组,https://terms.naer.edu.tw/
32,artificial intelligence (AI),人工智慧,人工智能,https://terms.naer.edu.tw/
33,ASCII character set,美國資訊交換標準碼字元集,ASCII 字符集,https://terms.naer.edu.tw/
34,assembler,組合程式；組譯器,汇编器,https://terms.naer.edu.tw/
35,assignment,指定；賦值,赋值,https://terms.naer.edu.tw/
36,asynchronous,異步；非同步；異步的；非同步的,异步的【形】,https://terms.naer.edu.tw/
37,attribute,屬性；特徵,属性,https://terms.naer.edu.tw/
38,audio compression,聲頻壓縮,音频压缩,https://terms.naer.edu.tw/
39,audit,審計；稽核；查帳,审核,https://terms.naer.edu.tw/
40,authentication,鑑別；鑑定；鑑認；驗證；認證,鉴别,https://terms.naer.edu.tw/
41,automated information system (AIS),自動化資訊系統,自动化信息系统,https://terms.naer.edu.tw/
42,automated office,自動化辦公室,自动化办公室,https://terms.naer.edu.tw/
43,automated teller machine,自動櫃員機,自动柜员机,https://terms.naer.edu.tw/
44,automatic patching,自動修補系統,自动修补,https://terms.naer.edu.tw/
45,auxiliary storage,輔助儲存器；輔助記憶體,辅助存储器,https://terms.naer.edu.tw/
46,availability,可用性,可用性,https://terms.naer.edu.tw/
47,background,後台；背景；底色,后台,https://terms.naer.edu.tw/
48,background,後台；背景；底色,背景,https://terms.naer.edu.tw/
49,backup,後備；備用；備份；備製,后备,https://terms.naer.edu.tw/
50,backward recovery,反向恢復,反向恢复,https://terms.naer.edu.tw/
51,bacterium,細菌,细菌[程序],https://terms.naer.edu.tw/
52,banner,標題,横幅,https://terms.naer.edu.tw/
53,bar code,條碼,条码,https://terms.naer.edu.tw/
54,baseline,基線,基线,https://terms.naer.edu.tw/
55,batch processing,批次處理；整批處理；程序組處理；成批處理,批处理,https://terms.naer.edu.tw/
56,beacon,信標,信标,https://terms.naer.edu.tw/
57,before image,前影像,前像,https://terms.naer.edu.tw/
