序號,英文名稱,中文名稱,中國大陸譯名,來源網站
1,abdominal muscle,腹肌,腹肌,https://terms.naer.edu.tw/
2,abducent nerve,外展神經,展神经,https://terms.naer.edu.tw/
3,abortion,墮胎；人工流產；流產； 不孕性；退化,流产,https://terms.naer.edu.tw/
4,absorption,吸收,吸收,https://terms.naer.edu.tw/
5,accessory nerve,副神經,副神经,https://terms.naer.edu.tw/
6,acne,痤瘡；青春痘；粉刺,粉刺,https://terms.naer.edu.tw/
7,acouophone,助聽器,助听器,https://terms.naer.edu.tw/
8,Action potential,動作電位；動(作)電位；作用電位；作用潛力；動作潛力；(神經)動態電勢；作用潛能；動作電位,动作电位,https://terms.naer.edu.tw/
9,adaptability,適應性；適應力；調適力；適合性；可適性；適應能力；適用度,适应性,https://terms.naer.edu.tw/
10,adipose tissue,脂肪組織,脂肪组织,https://terms.naer.edu.tw/
11,adrenal gland,腎上腺；副腎,肾上腺,https://terms.naer.edu.tw/
12,Adverse Drug Reaction,藥物不良反應,药品不良反应,https://terms.naer.edu.tw/
13,aflatoxin,黃麴毒素,黄曲霉毒素,https://terms.naer.edu.tw/
14,alcohol,乙醇,酒精,https://terms.naer.edu.tw/
15,alditol,醛醣醇,糖醇,https://terms.naer.edu.tw/
16,algesia,痛覺過敏,痛觉,https://terms.naer.edu.tw/
17,amblyopia,弱視；鈍視；視覺遲鈍,弱视,https://terms.naer.edu.tw/
18,amenorrhea,停經,闭经,https://terms.naer.edu.tw/
19,ammonia poisoning,氨中毒,氨中毒,https://terms.naer.edu.tw/
20,ammonia water,錏水；氨水,氨水,https://terms.naer.edu.tw/
21,amniotic fluid,羊水,羊水,https://terms.naer.edu.tw/
22,amylin,澱粉素,糊精,https://terms.naer.edu.tw/
23,an(a)emia,貧血,贫血,https://terms.naer.edu.tw/
24,anal prolapse,肛門脫出,脱肛,https://terms.naer.edu.tw/
25,analgesic,止痛劑；鎮痛劑,镇痛药,https://terms.naer.edu.tw/
26,anesthesia,感覺缺失,麻醉,https://terms.naer.edu.tw/
27,angina pectoris,心絞痛,心绞痛,https://terms.naer.edu.tw/
28,ankle joint,踝關節,踝关节,https://terms.naer.edu.tw/
29,anterior axillary line,腋前線,腋前线,https://terms.naer.edu.tw/
30,anterior cranial fossa,顱前窩,颅前窝,https://terms.naer.edu.tw/
31,anterior median line,前面中線,前正中线,https://terms.naer.edu.tw/
32,antibiotic,抗生素,抗生素,https://terms.naer.edu.tw/
33,anus,肛門,肛门,https://terms.naer.edu.tw/
34,aorta,主動脈,主动脉,https://terms.naer.edu.tw/
35,aphtha,口瘡,口疮,https://terms.naer.edu.tw/
36,appendicitis,闌尾炎,阑尾炎,https://terms.naer.edu.tw/
37,aqueous humor,前房液；眼房液；水狀液；水樣液,房水,https://terms.naer.edu.tw/
38,arrhythmia,心律不整,心律失常,https://terms.naer.edu.tw/
39,artery,動脈,动脉,https://terms.naer.edu.tw/
40,arthritis,關節炎,关节炎,https://terms.naer.edu.tw/
41,artificial insemination,人工授精,人工授精,https://terms.naer.edu.tw/
42,artificial limb,人工肢,假肢,https://terms.naer.edu.tw/
43,artificial respiration,人工呼吸,人工呼吸,https://terms.naer.edu.tw/
44,ascariasis,蛔蟲病,蛔虫病,https://terms.naer.edu.tw/
45,ascites,腹水症；腹水；水腹；水臌,腹水,https://terms.naer.edu.tw/
46,asphyxia,窒息,窒息,https://terms.naer.edu.tw/
47,asthma,氣喘,哮喘,https://terms.naer.edu.tw/
48,astigmatism,散光；像散；像差；縱橫像差；失焦；像散性；散光現象；像散現象,散光,https://terms.naer.edu.tw/
49,atavism,返祖[現象]；現象；間代遺傳；返祖遺傳；隔代遺傳；重演,返祖,https://terms.naer.edu.tw/
50,atherosclerosis,動脈粥狀硬化症；動脈粥樣硬化；動脈硬化；動脈粥瘤硬化(症)；動脈硬化(症)；動脈粥狀硬化,动脉粥样硬化,https://terms.naer.edu.tw/
51,atlantoaxial joint,寰樞關節 (atlanto-axial joint ),寰枢关节,https://terms.naer.edu.tw/
52,atlantooccipital joint,寰枕關節 (atlanto-occipital joint ),寰枕关节,https://terms.naer.edu.tw/
53,atmospheric pollution,空氣污染；大氣污染,大气污染,https://terms.naer.edu.tw/
54,atrioventricular bundle,房室束,房室束,https://terms.naer.edu.tw/
55,atrioventricular node,房室結,房室结,https://terms.naer.edu.tw/
56,atrophy,萎縮,萎缩,https://terms.naer.edu.tw/
57,audition,試聽；聽力；視聽；聽覺；聽音法；播音試驗；聽,听觉,https://terms.naer.edu.tw/
58,auditory nerve,聽神經,听神经,https://terms.naer.edu.tw/
59,auricle,耳廓,耳郭,https://terms.naer.edu.tw/
60,auscultation,聽診,听诊,https://terms.naer.edu.tw/
61,autonomic nervous system,自主神經系統；(自主)交感神經系統；自律神經系　,自主神经系统,https://terms.naer.edu.tw/
62,axillary artery,腋動脈,腋动脉,https://terms.naer.edu.tw/
63,axillary lymph nodes,腋淋巴結,腋淋巴结,https://terms.naer.edu.tw/
64,bacteria-carrier,細菌載體；細菌帶菌者,带菌者,https://terms.naer.edu.tw/
65,baked food,烘烤食品,焙烤食品,https://terms.naer.edu.tw/
66,baking soda,小蘇打；焙鹼；焙用鹼；碳酸氫鈉,小苏打,https://terms.naer.edu.tw/
67,balanced diet,均衡飲食,平衡膳食,https://terms.naer.edu.tw/
68,basal metabolism,基礎代謝,基础代谢,https://terms.naer.edu.tw/
69,basilic vein,肱內靜脈,贵要静脉,https://terms.naer.edu.tw/
70,beer,啤酒；發酵醪；大麥酒,啤酒,https://terms.naer.edu.tw/
71,benzene poisoning,苯中毒,苯中毒,https://terms.naer.edu.tw/
72,beriberi,腳氣病,脚气病,https://terms.naer.edu.tw/
73,biceps brachii,肱二頭肌,肱二头肌,https://terms.naer.edu.tw/
74,bicuspid teeth,二峰齒,双尖牙,https://terms.naer.edu.tw/
75,bile,膽汁,胆汁,https://terms.naer.edu.tw/
76,bioelectricity,生物電[流]；生物電性；生物電學,生物电,https://terms.naer.edu.tw/
77,biological pollution,生物污染,生物性污染,https://terms.naer.edu.tw/
