序號,英文名稱,中文名稱,來源網站
1,"1,1,1-trichloroethane","1,1,1-三氯乙烷",https://terms.naer.edu.tw/
2,"1,1,2-trichloro-1,2,2-trifluoroethane","1,1,2-三氯-1,2,2-三氟乙烷",https://terms.naer.edu.tw/
3,"2,3,7,8-tetrachloro dibenzodioxin (TCDD)"," 2,3,7,8-四氯聯苯戴奧辛",https://terms.naer.edu.tw/
4,"2,4,5-trichlorophenoxyacetic acid","2,4,5-三氯苯氧基乙酸",https://terms.naer.edu.tw/
5,"2,4,6-trinitrotoluene (TNT)",甲基三硝基苯,https://terms.naer.edu.tw/
6,2D solid,二維實體,https://terms.naer.edu.tw/
7,2D wireframe,二維線框,https://terms.naer.edu.tw/
8,3-car unit,三車組,https://terms.naer.edu.tw/
9,30th highest hourly volume,第30最高小時交通量,https://terms.naer.edu.tw/
10,375 rent deduction,三七五減租,https://terms.naer.edu.tw/
11,3D array,三維陣列,https://terms.naer.edu.tw/
12,3D city model,三維城市模型,https://terms.naer.edu.tw/
13,3D city modeling,三維城市建模,https://terms.naer.edu.tw/
14,3D dynamic view,三維動態視圖,https://terms.naer.edu.tw/
15,3D geodetic model,三維大地模式；三維大地模型,https://terms.naer.edu.tw/
16,3D object,三維物件,https://terms.naer.edu.tw/
17,3D orbit,三維軌道,https://terms.naer.edu.tw/
18,3D viewpoint,三維視點,https://terms.naer.edu.tw/
19,3D-lidar survey,三維光達測量,https://terms.naer.edu.tw/
20,4-aminodiphenyl,4-胺基聯苯,https://terms.naer.edu.tw/
21,A B shift,雙班制,https://terms.naer.edu.tw/
22,a posteriori,後驗的；驗後,https://terms.naer.edu.tw/
23,a posteriori variance of unit weight,後驗單位權方差；後驗單位權變方,https://terms.naer.edu.tw/
24,a priori,先驗的,https://terms.naer.edu.tw/
25,a priori position accuracy,先驗位置精確度；先驗位置準確度,https://terms.naer.edu.tw/
26,a priori variance of unit weight,先驗單位權方差；先驗單位權變方,https://terms.naer.edu.tw/
27,A-type right-of-way,A型路權；專用路權,https://terms.naer.edu.tw/
28,A-weighting sound level,A加權音壓位準,https://terms.naer.edu.tw/
29,A/F ratio,鋁-鐵氧化物比,https://terms.naer.edu.tw/
30,abacus,柱頂板{古典神廟},https://terms.naer.edu.tw/
31,abandoned path,廢棄河道,https://terms.naer.edu.tw/
32,abandoned tender,廢標,https://terms.naer.edu.tw/
33,abandonment and vacation of right of way,路權廢棄,https://terms.naer.edu.tw/
34,abandonment of existing miscellaneous structures,既有零星構造物拆除,https://terms.naer.edu.tw/
35,aberration,像差,https://terms.naer.edu.tw/
36,abiogenesis,無生源論,https://terms.naer.edu.tw/
37,abiotic factor,無生命因子；非生物因子,https://terms.naer.edu.tw/
38,ablation,消融{雪或冰溶解}；侵蝕{風化造成的}；燒蝕,https://terms.naer.edu.tw/
39,ablation cooling,燒蝕冷卻,https://terms.naer.edu.tw/
40,ablative plastic,燒蝕塑膠,https://terms.naer.edu.tw/
41,Abney hand level,Abney手持水準儀,https://terms.naer.edu.tw/
42,abnormal tide,異常潮,https://terms.naer.edu.tw/
43,aboriginal reserve,原住民保留地,https://terms.naer.edu.tw/
44,Abrams' law,亞伯姆定律,https://terms.naer.edu.tw/
45,abrasion,磨耗；磨蝕,https://terms.naer.edu.tw/
46,abrasion damage,磨損,https://terms.naer.edu.tw/
47,abrasion drill,磨鑽,https://terms.naer.edu.tw/
48,abrasion resistance,抗磨耗力,https://terms.naer.edu.tw/
49,abrasion resistance of aggregate,粒料之耐磨性,https://terms.naer.edu.tw/
50,abrasion resistant concrete,耐磨混凝土,https://terms.naer.edu.tw/
51,abrasion test machine,磨耗試驗機,https://terms.naer.edu.tw/
52,abrasive saw blade,研磨鋸片,https://terms.naer.edu.tw/
53,ABS detergent,烷基苯磺酸鹽清潔劑,https://terms.naer.edu.tw/
54,abscissa,橫坐標,https://terms.naer.edu.tw/
55,absence flag,離船旗,https://terms.naer.edu.tw/
56,absence light,離船燈,https://terms.naer.edu.tw/
57,absent-minded perception,無意識知覺,https://terms.naer.edu.tw/
58,absent-minded reading,無意識閱讀,https://terms.naer.edu.tw/
59,absenteeism,曠職,https://terms.naer.edu.tw/
60,absolute acceleration,絕對加速度,https://terms.naer.edu.tw/
61,absolute coordinates,絕對坐標,https://terms.naer.edu.tw/
62,absolute dry,絕對乾燥,https://terms.naer.edu.tw/
63,absolute efficiency,絕對效率,https://terms.naer.edu.tw/
64,absolute flying height,絕對飛行高度,https://terms.naer.edu.tw/
65,absolute humidity,絕對濕度,https://terms.naer.edu.tw/
66,absolute maximum bending moment,絕對最大彎矩,https://terms.naer.edu.tw/
67,absolute monthly range,絕對月變幅,https://terms.naer.edu.tw/
68,absolute monthly temperature range,絕對月溫差,https://terms.naer.edu.tw/
69,absolute motion,絕對運動,https://terms.naer.edu.tw/
70,absolute orientation,絕對方位,https://terms.naer.edu.tw/
71,absolute position,絕對位置,https://terms.naer.edu.tw/
72,absolute range,絕對範圍,https://terms.naer.edu.tw/
73,absolute rent,絕對地租,https://terms.naer.edu.tw/
74,absolute retardation,絕對阻滯性,https://terms.naer.edu.tw/
75,absolute signal,絕對號誌,https://terms.naer.edu.tw/
76,absolute specific gravity,絕對比重,https://terms.naer.edu.tw/
77,absolute speed,絕對速率,https://terms.naer.edu.tw/
78,absolute stiffness,絕對勁度,https://terms.naer.edu.tw/
79,absolute stop signal,絕對停止號誌,https://terms.naer.edu.tw/
80,absolute temperature,絕對溫度,https://terms.naer.edu.tw/
81,absolute temperature range,絕對溫差,https://terms.naer.edu.tw/
82,absolute viscosity,絕對黏度,https://terms.naer.edu.tw/
83,absolute volume,絕對體積,https://terms.naer.edu.tw/
84,absolute zero,絕對零度,https://terms.naer.edu.tw/
85,absorbance,吸收；吸光度,https://terms.naer.edu.tw/
86,absorbed moisture,吸收水氣,https://terms.naer.edu.tw/
87,absorbed water,吸收水,https://terms.naer.edu.tw/
88,absorbent dose,吸收劑量,https://terms.naer.edu.tw/
89,absorber,吸收器；吸收[放射線]器,https://terms.naer.edu.tw/
90,absorptiometric analysis,吸光分析,https://terms.naer.edu.tw/
91,absorption,吸收；吸水[率]；吸收[作用],https://terms.naer.edu.tw/
92,absorption capacity,吸收容量,https://terms.naer.edu.tw/
93,absorption chiller,冷凝器,https://terms.naer.edu.tw/
94,absorption coefficient,吸收係數,https://terms.naer.edu.tw/
95,absorption curve,吸收曲線,https://terms.naer.edu.tw/
96,absorption device,吸收設備,https://terms.naer.edu.tw/
97,absorption line profile,吸收曲線；吸收線[輪]廓,https://terms.naer.edu.tw/
98,absorption of aggregate,粒料之吸水性,https://terms.naer.edu.tw/
99,absorption rate,吸水率；吸收率,https://terms.naer.edu.tw/
100,absorption spectrometry,吸收光譜法,https://terms.naer.edu.tw/
101,absorption spectrum,吸收光譜,https://terms.naer.edu.tw/
102,absorption tower,吸收塔,https://terms.naer.edu.tw/
103,absorption water,吸收水,https://terms.naer.edu.tw/
104,absorptive material,吸音材料,https://terms.naer.edu.tw/
105,absorptivity,吸收率,https://terms.naer.edu.tw/
106,abstract art,抽象藝術,https://terms.naer.edu.tw/
107,abstract resource,抽象資源,https://terms.naer.edu.tw/
108,abstract resource,抽象資源,https://terms.naer.edu.tw/
109,abstraction,抽象化,https://terms.naer.edu.tw/
110,abstractionism,抽象派；抽象主義,https://terms.naer.edu.tw/
111,abutment,橋台,https://terms.naer.edu.tw/
112,abutment segment,橋台節塊,https://terms.naer.edu.tw/
113,abutment-segment diaphragm,橋台節塊端橫膈梁；橋台節塊端橫膈版,https://terms.naer.edu.tw/
114,abyssal rock,深海岩,https://terms.naer.edu.tw/
115,academism,學院派,https://terms.naer.edu.tw/
116,accelerated exposure test,加速曝露試驗,https://terms.naer.edu.tw/
117,accelerating admixture,速凝劑；早強劑,https://terms.naer.edu.tw/
118,accelerating admixture for concrete,混凝土速凝劑；混凝土早強劑,https://terms.naer.edu.tw/
119,accelerating force curve,加速力曲線,https://terms.naer.edu.tw/
120,acceleration,加速[度]；趕工{營建},https://terms.naer.edu.tw/
121,acceleration coefficient,加速係數；加速度係數,https://terms.naer.edu.tw/
122,acceleration distance,加速距離,https://terms.naer.edu.tw/
123,acceleration force,加速力,https://terms.naer.edu.tw/
124,acceleration force curve,加速力曲線,https://terms.naer.edu.tw/
125,acceleration hodograph,加速向量圖；加速矢圖；加速坐標圖,https://terms.naer.edu.tw/
126,acceleration lane,加速車道,https://terms.naer.edu.tw/
127,acceleration noise,加速噪音,https://terms.naer.edu.tw/
128,acceleration resistance,加速阻力；加速度阻力,https://terms.naer.edu.tw/
129,acceleration response spectrum,加速度反應譜,https://terms.naer.edu.tw/
130,acceleration spectrum,加速度振動譜,https://terms.naer.edu.tw/
131,accelerator,加速劑；速凝劑；早強劑,https://terms.naer.edu.tw/
132,accelerator key,加速鍵；快捷鍵,https://terms.naer.edu.tw/
133,accelerometer,加速度計,https://terms.naer.edu.tw/
134,acceptability criteria,允收標準,https://terms.naer.edu.tw/
135,acceptable daily intake (ADI),可接受之日攝取量,https://terms.naer.edu.tw/
136,acceptable quality level (AQL),允收品質水準,https://terms.naer.edu.tw/
137,acceptable risk,可接受風險,https://terms.naer.edu.tw/
138,acceptance criteria,驗收準則；驗收基準；允收準則；允收基準,https://terms.naer.edu.tw/
139,acceptance letter,接受函；允收函,https://terms.naer.edu.tw/
140,acceptance number,允收數,https://terms.naer.edu.tw/
141,acceptance number,允收數,https://terms.naer.edu.tw/
142,acceptance of work,工程驗收,https://terms.naer.edu.tw/
143,acceptance review,驗收審查,https://terms.naer.edu.tw/
144,acceptance test,驗收測試,https://terms.naer.edu.tw/
145,acceptance with price-deduction,減價收受,https://terms.naer.edu.tw/
146,access,存取{資訊},https://terms.naer.edu.tw/
147,access control,出入口管制,https://terms.naer.edu.tw/
148,access door,出入門；檢修門,https://terms.naer.edu.tw/
149,access flooring,高架地板,https://terms.naer.edu.tw/
